Clostera anachoreta granulovirus
Clostera anastomosis granulovirus
Clostridium phage c-st
Clostridium phage phi24R
Clostridium phage phi3626
Clostridium phage phi8074-B1
Clostridium phage phiC2
Clostridium phage phiCD119
Clostridium phage phiCD27
Clostridium phage phiCD38-2
Clostridium phage phiCD6356
Clostridium phage phiCP13O
Clostridium phage phiCP26F
Clostridium phage phiCP34O
Clostridium phage phiCP39-O
Clostridium phage phiCP7R
Clostridium phage phiCPV4
Clostridium phage phiCTP1
Clostridium phage phiMMP02
Clostridium phage phiMMP04
Clostridium phage PhiS63
Clostridium phage phiSM101
Clostridium phage phiZP2
Clostridium phage vB_CpeS-CP51
Coconut foliar decay virus
Colobus guereza papillomavirus type 2
Columbid circovirus
Colwellia phage 9A
Corchorus golden mosaic virus
Corchorus yellow spot virus
Corchorus yellow vein mosaic virus
Corchorus yellow vein virus - [Hoa Binh]
Corynebacterium phage BFK20
Corynebacterium phage P1201
Cotesia congregata bracovirus
Cotia virus SPAn232
Cotton leaf crumple virus
Cotton leaf curl Alabad virus
Cotton leaf curl Allahabad virus [India:Karnal:OY77:2005]
Cotton leaf curl Bangalore virus
Cotton leaf curl Burewala virus
Cotton leaf curl Gezira virus
Cotton leaf curl Kokhran virus
Cotton leaf curl Multan virus
Cotton leaf curl Rajasthan virus
Cotton leaf curl virus
Cowpox virus
Crassocephalum yellow vein virus - Jinghong
Croceibacter phage P2559S
Crocuta crocuta papillomavirus 1
Cronobacter phage CR3
Cronobacter phage CR5
Cronobacter phage ENT39118
Cronobacter phage ENT47670
Cronobacter phage ESP2949-1
Cronobacter phage phiES15
Cronobacter phage vB_CsaM_GAP161
Cronobacter phage vB_CsaM_GAP31
Cronobacter phage vB_CsaM_GAP32
Cronobacter phage vB_CsaP_GAP52
Cronobacter phage vB_CskP_GAP227
Croton yellow vein mosaic virus
Crow polyomavirus
Cryptophlebia leucotreta granulovirus
Cucurbit leaf crumple virus
Culex nigripalpus nucleopolyhedrovirus
Culex pipiens densovirus
Cyanophage 9515-10a
Cyanophage KBS-P-1A
Cyanophage KBS-S-2A
Cyanophage MED4-117
Cyanophage NATL1A-7
Cyanophage NATL2A-133
Cyanophage PP
Cyanophage P-RSM1
Cyanophage P-RSM6
Cyanophage PSS2
Cyanophage P-SSP2
Cyanophage SS120-1
Cyanophage S-TIM5
Cyanophage Syn30
Cyclovirus bat/USA/2009
Cyclovirus NGchicken15/NGA/2009
Cyclovirus PKgoat11/PAK/2009
Cyclovirus PKgoat21/PAK/2009
Cyclovirus VN
Cydia pomonella granulovirus
Cynomolgus macaque cytomegalovirus strain Ottawa
Cyprinid herpesvirus 1
Cyprinid herpesvirus 2
Cyprinid herpesvirus 3
Dalechampia chlorotic mosaic virus
Datura leaf distortion virus
Deep-sea thermophilic phage D6E
Deerpox virus W-1170-84
Deerpox virus W-848-83
Deftia phage phiW-14
Deltapapillomavirus 1
Deltapapillomavirus 2
Deltapapillomavirus 3
Deltapapillomavirus 4
Dendrolimus punctatus densovirus
Desmodium leaf distortion virus
Diadromus pulchellus ascovirus 4a
Diatraea saccharalis densovirus
Dickeya phage Limestone
Dicliptera yellow mottle virus
Digitaria ciliaris striate mosaic virus
Digitaria didactyla striate mosaic virus
Digitaria streak virus
Dolichos yellow mosaic virus
Dragonfly-associated mastrevirus
Dragonfly-associated microphage 1
Duck adenovirus A
Duck circovirus
East African cassava mosaic Cameroon virus
East African cassava mosaic Kenya virus
East African cassava mosaic Malawi virus
East African cassava mosaic virus
East African cassava mosaic Zanzibar virus
Eclipta yellow vein virus
Ectocarpus siliculosus virus 1
Ectromelia virus
Ectropis obliqua nucleopolyhedrovirus
Edwardsiella phage MSW-3
Eidolon helvum parvovirus 1
Eidolon polyomavirus 1
Elephantid herpesvirus 1
Emiliania huxleyi virus 86
Emilia yellow vein virus-[Fz1]
Endosymbiont phage APSE-1
Enterobacterial phage mEp213
Enterobacterial phage mEp234
Enterobacterial phage mEp390
Enterobacteria phage 13a
Enterobacteria phage 285P
Enterobacteria phage 933W
Enterobacteria phage 933W sensu lato
Enterobacteria phage alpha3
Enterobacteria phage BA14
Enterobacteria phage BP-4795
Enterobacteria phage Bp7
Enterobacteria phage CC31
Enterobacteria phage cdtI
Enterobacteria phage Chi
Enterobacteria phage EcoDS1
Enterobacteria phage EPS7
Enterobacteria phage ES18
Enterobacteria phage fiAA91-ss
Enterobacteria phage G4 sensu lato
Enterobacteria phage HK022
Enterobacteria phage HK140
Enterobacteria phage HK225
Enterobacteria phage HK446
Enterobacteria phage HK578
Enterobacteria phage HK629
Enterobacteria phage HK630
Enterobacteria phage HK633
Enterobacteria phage HK97
Enterobacteria phage HX01
Enterobacteria phage I2-2
Enterobacteria phage ID18 sensu lato
Enterobacteria phage ID2 Moscow/ID/2001
Enterobacteria phage If1
Enterobacteria phage Ike
Enterobacteria phage IME08
Enterobacteria phage ime09
Enterobacteria phage IME10
Enterobacteria phage JK06
Enterobacteria phage JL1
Enterobacteria phage JS10
Enterobacteria phage JS98
Enterobacteria phage JSE
Enterobacteria phage K1-5
Enterobacteria phage K1E
Enterobacteria phage K1F
Enterobacteria phage K30
Enterobacteria phage lambda
Enterobacteria phage M13
Enterobacteria phage mEp043 c-1
Enterobacteria phage mEp235
Enterobacteria phage mEp237
Enterobacteria phage mEp460
Enterobacteria phage mEpX1
Enterobacteria phage mEpX2
Enterobacteria phage Min27
Enterobacteria phage Mu
Enterobacteria phage N15
Enterobacteria phage NJ01
Enterobacteria phage P1
Enterobacteria phage P2
Enterobacteria phage P22
Enterobacteria phage P4
Enterobacteria phage Phi1
Enterobacteria phage Phieco32
Enterobacteria phage phiEcoM-GJ1
Enterobacteria phage phiP27
Enterobacteria phage phiX174 sensu lato
Enterobacteria phage PRD1
Enterobacteria phage PsP3
Enterobacteria phage RB14
Enterobacteria phage RB16
Enterobacteria phage RB32
Enterobacteria phage RB43
Enterobacteria phage RB49
Enterobacteria phage RB51
Enterobacteria phage RB69
